Accession	S4-1	S2-1	S5-1	S4-2	S3-1	S2-2	S3-2	S1-1	S5-2	S1-2
sp|P16858|G3P_MOUSE_family	314655294	300203953	341793958	372595403	361402377	338050819	359430411	362591277	348054587	338684988
sp|P04370|MBP_MOUSE	462919250	275868545	283898428	279868461	301674683	323576153	354498306	373198074	328741710	297110595
sp|Q03265|ATPA_MOUSE	257462814	248835550	308653767	316769131	296498340	308728204	336686505	299806453	289591051	302662813
sp|P60710|ACTB_MOUSE_family	208217256	207360473	243976753	259141682	239298350	225137480	240386204	234280560	241241160	233253482
sp|P16546|SPTN1_MOUSE	193425270	191011805	236668629	241543336	235152711	219647859	237964803	221714558	233791629	212718059
sp|P08249|MDHM_MOUSE	186132055	175446621	222037095	229159187	212762269	221637352	251828937	219869286	214609441	218869243
sp|Q04447|KCRB_MOUSE	177786217	186838408	201001722	216704033	214976889	195263874	215076806	202266050	213410506	199529932
sp|P60202|MYPR_MOUSE	257604804	155521885	167071562	187812045	208080322	201825227	197849079	235251522	216821912	180474157
sp|P56480|ATPB_MOUSE	166940728	156965778	202349470	202717697	192959266	189353162	216501098	186841463	190566720	196671211
sp|Q6PIC6|AT1A3_MOUSE_family	162799120	146200344	158188052	191993712	170663141	167504753	166782387	204959219	166007744	176695749
sp|P52480|KPYM_MOUSE	165118531	148466166	169538383	183016209	175191926	170300662	177324655	184867156	172405669	163726480
sp|Q68FD5|CLH1_MOUSE	143213009	144571088	162225959	175815609	167093980	152609352	175656388	169631012	166972058	156296146
sp|O08553|DPYL2_MOUSE	150228115	139616333	156641394	180680400	159094694	154707848	170900162	176914707	164876572	155550618
sp|P17182|ENOA_MOUSE_family	146341501	141572606	164536143	172437639	161655427	154416078	167172020	159084786	152740119	160669734
sp|P63017|HSP7C_MOUSE	151647342	136464071	162542343	172166300	160232407	152515184	158381580	163927143	158361651	161584168
sp|O08599|STXB1_MOUSE	126819182	126037013	147648687	160950459	149459404	144558502	159474340	147587463	152211525	135447204
sp|Q62261|SPTB2_MOUSE	118806442	111603480	131765260	144253078	134819544	126693044	133983599	137380170	133187463	123642974
sp|P16330|CN37_MOUSE	160616601	103746236	111059348	124054460	123046616	117145850	116060907	147459941	122626310	112757552
sp|P05064|ALDOA_MOUSE	114420265	106987221	123841043	136047818	127288730	120399453	127914036	130157188	123248136	121352561
sp|Q99KI0|ACON_MOUSE	104161294	93430084	120632862	120239590	116681432	113166810	129918033	116113339	115991550	119163375
sp|P09411|PGK1_MOUSE	103388650	94533193	106815335	115250566	108643796	102525853	108534746	114686664	104148560	103882807
sp|P17742|PPIA_MOUSE_family	98452184	95681857	107354200	115311639	111441685	102868866	109759351	107697320	108002656	104680239
sp|Q8VDN2|AT1A1_MOUSE	94069301	89578415	110596356	113177063	116006847	104266299	111312514	95296381	110664506	98738541
sp|P14094|AT1B1_MOUSE	95838623	85567973	96510819	113337483	102698254	99296225	101218923	118863292	100102205	101094559
sp|Q6PIE5|AT1A2_MOUSE_family	94995176	86503020	94537729	104861529	96539604	89428190	92725934	102795933	96051425	99977775
sp|P61264|STX1B_MOUSE	78974847	78045119	91822860	100201263	94938625	93985508	102911833	93741394	95069431	87635311
sp|P16125|LDHB_MOUSE	84732763	77013214	86444763	94108942	87679551	84485318	92759448	92533016	86979329	86405227
sp|P05202|AATM_MOUSE	78159993	74151917	89225531	94142820	85695446	88883377	99222471	91767579	83450422	87595574
sp|P11881|ITPR1_MOUSE_family	66801370	74603463	93665476	87633164	103956444	81987877	99720039	71863314	103658101	86818057
sp|P17751|TPIS_MOUSE	76428338	74513680	86964734	91727366	90669574	81750113	90218573	83398494	86392996	81784116
sp|P05063|ALDOC_MOUSE	72895671	80572682	91625526	80774956	87553884	78398263	89276655	82223639	88397899	78955452
sp|Q9JHU4|DYHC1_MOUSE	79982949	71296410	82355902	93249400	86108114	79816209	83415450	88733529	83725342	78964766
sp|P0DP26|CALM1_MOUSE (+2)	71750092	72215577	84793058	92130383	84937509	80859077	87416824	85951466	84499516	81876747
sp|P14152|MDHC_MOUSE	75551902	69234923	80643352	88520588	82072547	76252548	84759415	83079930	77650826	78634766
sp|Q60932|VDAC1_MOUSE	68663275	67027456	82754052	86446014	80409080	81747690	86486874	80512393	79012203	82328024
sp|P08553|NFM_MOUSE	120760685	63694567	70683194	73022104	72483705	79623161	76850559	89294319	70318440	72324855
sp|P05213|TBA1B_MOUSE_family	72635605	68116042	73876781	85396643	74726126	75418450	72520164	90470377	74071365	78022265
sp|O88935|SYN1_MOUSE	64497675	65817035	75784800	86612416	76897119	72638832	80059388	83433469	76304196	71032543
sp|P68033|ACTC_MOUSE_family	60259099	66903859	75995186	82233238	76474744	74096587	75544752	74366055	79442432	71581122
tr|A8DUK4|A8DUK4_MOUSE	202561045	176357149	16407287	126463293	21649760	9447992	4579687	82986476	92787391	3020642
tr|Q68FG2|Q68FG2_MOUSE	58028439	65138509	80940262	76527733	79329562	72737921	79865430	66490052	82368556	72876853
sp|P63038|CH60_MOUSE	63399229	58526946	75904709	75543286	69305173	71464415	72687163	73008369	67989734	74225745
sp|P46460|NSF_MOUSE	63851768	58898899	65458678	74840380	67358703	64250543	72014033	74414298	66468114	64120796
sp|P63101|1433Z_MOUSE	56224696	58335005	71596625	72864981	69420133	66996547	69670424	69145235	68685387	66100919
sp|P17183|ENOG_MOUSE	60846693	59237359	63961986	73022562	69503017	63278511	68181837	71475128	68293091	68940491
sp|P26443|DHE3_MOUSE	63913509	58361792	67829458	76131520	65615246	63422518	71898080	69913471	64713074	64255326
sp|P62259|1433E_MOUSE	55995660	55638190	66484365	71370430	66067540	61753663	66888152	64980239	65995357	62606773
sp|P46660|AINX_MOUSE	64273224	52260730	59226450	63446169	62395590	66950478	73468373	68960438	62961453	57567529
sp|P08551|NFL_MOUSE	91729279	50222295	55279031	57370883	59022086	63444063	64943864	71904544	57100922	57035765
sp|P10854|H2B1M_MOUSE_family	49495816	54935667	61926754	69550528	67826971	62722084	60398810	56062912	70278084	62138943
sp|P19536|COX5B_MOUSE	53234439	51536542	64870588	64390189	59312386	62383614	67673390	60897124	58638207	63475903
sp|P99029|PRDX5_MOUSE	54864658	50531278	61923435	63883802	59596192	60403815	67052417	63137251	58713034	58839903
sp|Q9DBJ1|PGAM1_MOUSE_family	55041086	52431289	61367348	64036199	62099820	57000616	62348755	63068170	60774255	58482529
sp|Q9QYR6|MAP1A_MOUSE	55710940	49705834	57374287	63669445	56800191	56888421	60830069	62848171	57924457	56332844
sp|Q9QXS1|PLEC_MOUSE_family	61841572	46649472	59074865	60986429	57660285	55990353	64067669	56751074	58422977	53956840
sp|P17710|HXK1_MOUSE	53780142	47181829	58920566	62423448	55816525	56673552	64727287	56553260	54623907	56566636
sp|P13595|NCAM1_MOUSE	49547870	50091678	54204776	63953131	57010554	54675775	56316394	62537663	56999482	54553874
sp|P62897|CYC_MOUSE	49119759	45903280	58551545	57377067	55125201	56216442	59824787	55277637	53519568	55320725
sp|P07901|HS90A_MOUSE	49815895	45619463	58076981	59333956	53600789	49841735	52977805	53402850	54947064	55266084
sp|P39053|DYN1_MOUSE	45592482	46779965	53527177	57219493	54594053	50525724	57333276	53024838	55030256	52019142
sp|O88569|ROA2_MOUSE	43508561	43030773	54221584	56164907	55128049	50724362	53075304	46219331	56179164	50711036
sp|P48962|ADT1_MOUSE	45437044	41050188	51737837	53950583	50681510	51734967	54138508	53463598	48578249	53103661
sp|P30275|KCRU_MOUSE	45070036	42376852	50784182	53446221	49052885	49623653	57038057	55433868	48910960	50073790
sp|Q8C8R3|ANK2_MOUSE	42172760	42728403	51593593	55535272	52510332	49352108	53491976	51662094	52360885	47547754
sp|Q9D6F9|TBB4A_MOUSE	43997309	41627152	53327736	54697585	51268730	50908550	52467128	49934832	52041279	45111573
sp|P06745|G6PI_MOUSE	47012302	43509659	50368982	52842818	50261781	46784880	53889581	52243259	48787485	48786326
sp|P14231|AT1B2_MOUSE	45614431	41811005	48181433	54985868	49265713	47159521	49420680	48989584	50552554	49023509
sp|Q60930|VDAC2_MOUSE	41211424	38978066	48587229	51933068	49491792	49654778	55236275	47404842	48088785	49129943
sp|P18760|COF1_MOUSE	43585407	40431284	48699321	51560025	49347069	46276257	47309681	47836577	47871001	43938009
sp|Q9CZU6|CISY_MOUSE_family	41570496	38633097	47200875	49663413	44230432	46097095	49962968	47610129	44609183	45832941
sp|Q9DB20|ATPO_MOUSE	40881044	36597702	48457417	50475526	45582204	46732961	51510661	45417089	43301209	44982760
sp|Q9R0K7|AT2B2_MOUSE	35606146	37894214	48190961	47685297	48940961	45088690	49004559	41484271	48870618	43453889
sp|Q02053|UBA1_MOUSE	41306853	38877919	46841976	48967628	46467983	43323419	46556722	44411266	45140940	42125918
