"accessions"	"S1-2_tmm_SET1-2"	"S4-1_tmm_SET1-2"	"S5-2_tmm_SET1-2"	"S1-1_tmm_SET1-2"	"S2-1_tmm_SET1-2"	"S5-1_tmm_SET1-2"	"S4-2_tmm_SET1-2"	"S3-1_tmm_SET1-2"	"S2-2_tmm_SET1-2"	"S3-2_tmm_SET1-2"	"logFC_SET1-2"	"FC_SET1-2"	"PValue_SET1-2"	"FDR_SET1-2"	"ave_SET1_SET1-2"	"ave_SET2_SET1-2"	"direction_SET1-2"	"candidate_SET1-2"	"Acc_SET1-2"
"sp|P16858|G3P_MOUSE_family"	339963718.67474	340914533.520445	342234477.884702	354611021.489686	345976208.193373	335360027.966908	337307573.255197	347185412.288855	342928462.503305	350653652.910848	-0.00861709823286858	-1.00599079046796	0.868144884553665	0.999275757135951	344739991.952589	342687025.785023	"down"	"no"	"sp|P16858|G3P_MOUSE_family"
"sp|P04370|MBP_MOUSE"	298232358.42347	501551708.109459	323244547.501895	364984373.959784	317930367.688806	278554323.519789	253362630.484673	289807305.81765	328244945.476745	345841982.60733	-0.271824563328369	-1.20733376664427	0.0606179835395861	0.97912595798501	361188671.136683	299162237.581237	"down"	"no"	"sp|P04370|MBP_MOUSE"
"sp|Q03265|ATPA_MOUSE"	303805539.240604	278949112.909796	284748559.107675	293208025.927026	286775637.670276	302843667.977336	286768505.460513	284834591.488758	313182759.451107	328465119.397024	0.0668095493032634	1.0473978521748	0.283894571973437	0.999275757135951	289497374.971075	303218928.754948	"up"	"no"	"sp|Q03265|ATPA_MOUSE"
"sp|P60710|ACTB_MOUSE_family"	234134148.08498	225593816.642243	237207166.693366	229124289.43175	238976833.785144	239384134.196297	234598846.848065	229884753.372258	228385927.58525	234516329.0648	0.00214533636258483	1.00148813946543	0.967225262953084	0.999275757135951	233007250.927497	233353998.213334	"up"	"no"	"sp|P60710|ACTB_MOUSE_family"
"sp|P16546|SPTN1_MOUSE"	213521192.049152	209567380.401729	229882205.473215	216834852.018556	220135475.744625	232213578.334611	218667208.038862	225902196.872869	222817098.334001	232154055.089568	0.0543103961737415	1.03836265167398	0.323438975792554	0.999275757135951	217988221.137455	226350827.333983	"up"	"no"	"sp|P16546|SPTN1_MOUSE"
"sp|P08249|MDHM_MOUSE"	219695600.307521	201665517.515579	211020778.731362	215030192.529061	202197059.923191	217857468.354929	207455939.160108	204392557.391169	224835297.188449	245679647.478982	0.0679410222717903	1.04821962595774	0.310961899944896	0.999275757135951	209921829.801343	220044181.914728	"up"	"no"	"sp|P08249|MDHM_MOUSE"
"sp|Q04447|KCRB_MOUSE"	200283272.282615	192623186.040911	209841892.116825	197814385.378013	215325758.700874	197218065.25122	196180390.035151	206520057.946493	198081283.43348	209824949.064473	-0.0114972717184806	-1.00800114188759	0.842112318579447	0.999275757135951	203177698.903847	201564949.146163	"down"	"no"	"sp|Q04447|KCRB_MOUSE"
"sp|P60202|MYPR_MOUSE"	181155550.769227	279102952.541728	213196253.170721	230073881.571683	179234388.906884	163926606.639416	170024709.421994	199894790.350999	204737308.414835	193017897.632476	-0.216932953542922	-1.16226009182126	0.084094461309687	0.994285292528958	216552605.392049	186320262.491944	"down"	"no"	"sp|P60202|MYPR_MOUSE"
"sp|P56480|ATPB_MOUSE"	197413757.966221	180872597.71858	187380095.988794	182729277.436692	180898433.034833	198540443.240629	183518674.359362	185368571.389238	192085287.374497	211214461.964125	0.062930923155662	1.04458574891624	0.308717010835672	0.999275757135951	185858832.429024	194145487.66557	"up"	"no"	"sp|P56480|ATPB_MOUSE"
"sp|Q6PIC6|AT1A3_MOUSE_family"	177362877.105313	176385356.009103	163231790.973803	200448280.539629	168491587.629716	155210319.846411	173810338.381918	163949538.634595	169921633.611797	162709808.221377	-0.101730418954864	-1.07305975513412	0.143381768497909	0.999275757135951	177183978.451513	165120327.73922	"down"	"no"	"sp|Q6PIC6|AT1A3_MOUSE_family"
"sp|P52480|KPYM_MOUSE"	164344641.653634	178898331.109745	169522730.969144	180798422.872851	171102880.706197	166346992.196815	165683078.28574	168300168.811531	172757884.023807	172994649.656692	-0.0313458326871494	-1.02196503100004	0.567606055100732	0.999275757135951	172933401.462314	169216554.594917	"down"	"no"	"sp|P52480|KPYM_MOUSE"
"sp|Q68FD5|CLH1_MOUSE"	156886253.868123	155164705.912414	164179979.880467	165897610.497809	166613918.107302	159172217.278336	159164433.953509	160520782.455412	154811310.914131	171367119.265056	-0.00662731517838988	-1.0046042723884	0.906271496546242	0.999275757135951	161748493.653223	161007172.773289	"down"	"no"	"sp|Q68FD5|CLH1_MOUSE"
"sp|O08553|DPYL2_MOUSE"	156137911.071022	162765250.49307	162119534.238	173020998.974056	160903708.996808	153692776.139172	163568489.48772	152836174.979998	156940085.543277	166727033.256948	-0.0379958029326201	-1.02668655852015	0.506803468509551	0.999275757135951	162989480.754591	158752911.881423	"down"	"no"	"sp|O08553|DPYL2_MOUSE"
"sp|P17182|ENOA_MOUSE_family"	161276354.678942	158554283.050126	150186024.923763	155583495.92323	163158255.973846	161438914.370883	156106385.319375	155296173.029116	156644105.673148	163089926.960814	0.00696489342914775	1.00483936618997	0.896462789595282	0.999275757135951	157751682.909982	158515101.070667	"up"	"no"	"sp|P17182|ENOA_MOUSE_family"
"sp|P63017|HSP7C_MOUSE"	162194241.193365	164302917.64786	155713554.629706	160319277.700428	157270819.94557	159482645.665395	155860744.340225	153929132.254519	154715784.189621	154514136.481322	-0.0389391776607232	-1.02735812633504	0.44493446599634	0.999275757135951	159960162.223386	155700488.586216	"down"	"no"	"sp|P63017|HSP7C_MOUSE"
"sp|O08599|STXB1_MOUSE"	135958595.117703	137402748.650319	149666269.981982	144339217.000803	145253942.907803	144869347.870676	145707135.145734	143579921.164123	146644297.384888	155580212.901202	0.0473176939786188	1.03334191436215	0.401881316272338	0.999275757135951	142524154.731722	147276182.893324	"up"	"no"	"sp|O08599|STXB1_MOUSE"
"sp|Q62261|SPTB2_MOUSE"	124109797.358495	128721313.53256	130960325.084275	134356575.864694	128619721.511745	129284910.526906	130591132.587786	129515968.756994	128521063.540992	130711918.02825	0.00413690912324604	1.00287160288522	0.935774345479126	0.999275757135951	129353546.670354	129724998.688186	"up"	"no"	"sp|Q62261|SPTB2_MOUSE"
"sp|P16330|CN37_MOUSE"	113183276.628075	174020697.091956	120575773.873589	144214501.626907	119564479.371179	108968766.648785	112305488.788019	118206168.042742	118836115.670357	113226871.611863	-0.232650489135424	-1.17499163833704	0.0384575420365417	0.949273074477156	134311745.718341	114308682.152353	"down"	"no"	"sp|P16330|CN37_MOUSE"
"sp|P05064|ALDOA_MOUSE"	121810736.731748	123969092.564388	121187201.805856	127292564.158694	123299619.065064	121509859.000875	123162977.76826	122281404.37708	122136664.024852	124790564.763786	-0.00861735267206105	-1.00599096824227	0.863189685904123	0.999275757135951	123511842.86515	122776293.98697	"down"	"no"	"sp|P05064|ALDOA_MOUSE"
"sp|Q99KI0|ACON_MOUSE"	119613285.295162	112853969.508919	114051959.192502	113557805.615297	107675418.22978	118362068.805348	108851918.154502	112091379.729287	114799663.182309	126745627.126254	0.0329052759721319	1.02307030015729	0.593659004571581	0.999275757135951	113550487.568332	116170131.39954	"up"	"no"	"sp|Q99KI0|ACON_MOUSE"
"sp|P09411|PGK1_MOUSE"	104275024.360071	112016845.284855	102407005.640306	112162530.24279	108946718.841348	104804642.956546	104335395.500701	104369930.878696	104005170.702248	105884488.312401	-0.0445337868124691	-1.03134984270143	0.406573239380066	0.999275757135951	107961624.873874	104679925.670118	"down"	"no"	"sp|P09411|PGK1_MOUSE"
"sp|P17742|PPIA_MOUSE_family"	105075467.124633	106668411.504397	106196654.10794	105327014.408296	110270520.247815	105333364.360891	104390684.388474	107057755.60765	104353132.943714	107079190.272728	-0.0144683165841392	-1.0100791318174	0.772372083371891	0.999275757135951	106707613.478616	105642825.514691	"down"	"no"	"sp|P17742|PPIA_MOUSE_family"
"sp|Q8VDN2|AT1A1_MOUSE"	99111335.7964313	101919759.433665	108813993.108726	93199007.1307764	103236483.224031	108514490.010962	102458270.180753	111443331.774282	105770729.125137	108594427.333501	0.0843971329681048	1.06024459758995	0.160397236803107	0.999275757135951	101256115.738726	107356249.684927	"up"	"no"	"sp|Q8VDN2|AT1A1_MOUSE"
"sp|P14094|AT1B1_MOUSE"	101476249.119795	103836738.412819	98428313.0946996	116247235.020347	98614567.015155	94694099.1828452	102603497.095701	98658276.5512236	100728943.27652	98747306.8706249	-0.065943427990018	-1.04676923156834	0.299610818866236	0.999275757135951	103720620.532563	99086424.595383	"down"	"no"	"sp|P14094|AT1B1_MOUSE"
"sp|Q6PIE5|AT1A2_MOUSE_family"	100355248.617711	102922902.395955	94445269.543184	100533501.819779	99692181.1248619	92758150.6322824	94930285.2102539	92741897.5358394	90718525.0781877	90461704.0784292	-0.10932204684239	-1.07872120769278	0.0370934697656368	0.94747733905273	99589820.7002981	92322112.5069985	"down"	"no"	"sp|Q6PIE5|AT1A2_MOUSE_family"
"sp|P61264|STX1B_MOUSE"	87966184.7155073	85565613.0319342	93479696.278448	91678243.7714494	89944699.4944153	90094386.3308476	90711384.4870377	91203898.3704914	95341599.3825237	100398878.516713	0.0601977345649752	1.04260865463484	0.296546135880843	0.999275757135951	89726887.4583509	93550029.4175226	"up"	"no"	"sp|P61264|STX1B_MOUSE"
"sp|P16125|LDHB_MOUSE"	86731456.4407416	91804050.091855	85524875.5767057	90496460.9098455	88755459.3943165	84817526.6377083	85196056.0759632	84230384.1937285	85704333.7198446	90494399.7162049	-0.0425021953754365	-1.02989852554067	0.424342587614638	0.999275757135951	88662460.4826929	86088540.0686899	"down"	"no"	"sp|P16125|LDHB_MOUSE"
"sp|P05202|AATM_MOUSE"	87926297.6854717	84682756.2149843	82054978.354381	89747870.3792024	85457898.9302307	87545949.4562576	85226725.5524912	82324330.5640663	90165851.1193005	96799605.2704362	0.0403504630053686	1.02836361231683	0.51400967201907	0.999275757135951	85973960.312854	88412492.3925104	"up"	"no"	"sp|P05202|AATM_MOUSE"
"sp|P11881|ITPR1_MOUSE_family"	87145845.1114921	72376210.8133373	101924748.011595	70281677.4744806	85978292.3872245	91902316.9242031	79333587.176637	99866971.4621807	83170857.8215871	97285023.3970942	0.112423181308072	1.08104245635225	0.310551824554011	0.999275757135951	83541354.7596259	90311751.3563404	"up"	"no"	"sp|P11881|ITPR1_MOUSE_family"
