Accession	S4-1	S2-1	S5-1	S4-2	S3-1	S2-2	S3-3	S1-1	S5-2	S1-2
sp|P16546|SPTN1_MOUSE	528505542	529602019	649599595	658306435	643273174	600500821	651633685	604105688	647090209	587308937
sp|P04370|MBP_MOUSE	696431725	408086867	450389098	413624458	460664303	477533674	553780095	542298583	510891708	429384728
sp|Q03265|ATPA_MOUSE	431019303	397827692	501380982	514303516	476950528	479968993	530961500	473574933	452629296	470316877
sp|Q04447|KCRB_MOUSE	403183747	426886826	461260407	470907487	481378259	435282491	495999223	467274953	491807757	455155703
sp|P16858|G3P_MOUSE_family	343271774	328708176	371649653	395624147	388597664	358762235	388045796	382796999	374391204	354425492
sp|P56480|ATPB_MOUSE	318797040	308792556	381902933	381191461	364685172	368449050	423584033	367778527	367489802	375579163
sp|Q68FD5|CLH1_MOUSE	311490167	311311605	349120552	372427363	362071323	319074600	375958261	352554957	361983240	334743871
sp|Q6PIC6|AT1A3_MOUSE_family	327802546	291403696	318381018	378339532	327357778	317853417	329159417	394971621	318890532	342570212
sp|Q62261|SPTB2_MOUSE	308287431	285799031	342078241	368524570	348414359	321344255	342818177	348512282	338772252	316407189
sp|P08249|MDHM_MOUSE	282325159	265422900	339507091	337030987	315560087	320676293	374279058	315512042	304659704	316815836
sp|P16330|CN37_MOUSE	380486546	247395214	264267764	287522953	288591690	266536882	275016044	342173744	286193852	262407909
sp|O08599|STXB1_MOUSE	244931241	239890063	284392164	301666046	279400393	265754582	306370821	277742092	286353856	247841360
sp|P60710|ACTB_MOUSE_family	234590959	236464768	279686733	287124872	281624028	259991127	279310897	272198117	294079878	258487905
sp|P63017|HSP7C_MOUSE	259877465	225344724	274023113	288208266	267206274	248218340	266370895	268173502	260602499	261170779
sp|P17182|ENOA_MOUSE_family	237878486	227121873	272134426	276337946	268731488	247817312	274523133	260207411	249079623	260500361
sp|P16125|LDHB_MOUSE	250415328	223021548	263881410	276378456	262912116	244317983	273308658	262179080	254285963	249605421
sp|P52480|KPYM_MOUSE	247918025	222988727	252291007	265907106	253492817	246746832	260013628	263039547	249356769	240701770
sp|Q9JHU4|DYHC1_MOUSE	235997545	211116931	242230301	270055771	254321629	233341563	243209110	260885396	247351292	233377814
sp|P60202|MYPR_MOUSE	305885757	180347984	206172880	219315722	247247754	236844900	243944757	269373882	261336829	213828036
sp|P11881|ITPR1_MOUSE_family	180784410	202270988	255266883	228978913	275516337	217071405	264069021	189058733	277376659	231115934
sp|Q99KI0|ACON_MOUSE	218871799	187877332	246013341	243688023	230118516	216994614	256039135	222237003	226521623	233222899
sp|Q6PIE5|AT1A2_MOUSE_family	223312822	203376976	225693006	243403257	228318073	209239258	222576202	237292628	224656488	232568274
sp|P09411|PGK1_MOUSE	210162340	184558283	212856847	230453384	213571835	201049898	212997938	223901710	208428971	203166134
sp|O08553|DPYL2_MOUSE	199387589	183036813	202921867	235421728	210739751	194753563	219125069	229969184	213770413	201884989
sp|P62259|1433E_MOUSE	178242636	177171798	212468215	214110258	208963819	193008496	209703851	197092533	203562609	195056419
sp|P05202|AATM_MOUSE	170587718	165441584	199797958	200528784	184777601	185934711	215439317	202050519	183195891	184265127
sp|P99029|PRDX5_MOUSE	166049023	159627786	190948265	189095027	192282171	182649031	211119821	185513040	188852986	185320734
sp|O88935|SYN1_MOUSE	157007898	156605853	186655659	204873136	183245256	172874718	193864609	198483955	181929782	170380891
sp|P63038|CH60_MOUSE	158511484	151175245	185243399	184083310	172177628	180222102	181318318	185472918	174684983	186715516
sp|Q9DBJ1|PGAM1_MOUSE_family	160047988	151808018	177189166	184566839	171353709	160328994	180606896	176354681	176246387	165411564
sp|P46460|NSF_MOUSE	152931921	141630137	158300612	178825720	163020389	151896384	170907632	178688875	158353284	151530602
tr|Q68FG2|Q68FG2_MOUSE	128400211	142360962	178418014	166013580	171614545	156767878	174678622	145167492	180507588	158418234
sp|P08553|NFM_MOUSE	244601166	129191141	148319777	147259949	148811286	158982026	157267406	179436574	141630510	146173804
sp|P17751|TPIS_MOUSE	132301658	129850702	148012573	154889718	155929582	138203930	152052266	139957234	145933975	134711564
sp|P17742|PPIA_MOUSE_family	138076737	127533228	146033936	155769405	151218242	137163439	152685278	145983205	142680270	133906933
sp|P68033|ACTC_MOUSE_family	117887225	127216330	148529379	149763843	152149903	136598689	157385458	139584402	153049987	139499433
sp|Q01853|TERA_MOUSE	135938611	122193515	143377403	153028395	142346977	137224398	147715773	148846344	143879548	138879100
sp|P50516|VATA_MOUSE	122058214	121945208	142119839	146222313	142947703	133299613	145742345	147593904	143761404	136320385
sp|P17183|ENOG_MOUSE	123019416	123321778	132576324	147586800	136891083	129873255	138868777	143322270	140390696	137330125
sp|P08551|NFL_MOUSE	201935747	107734939	122590806	122480647	125662346	133032353	133604065	153042924	117739779	120755912
sp|P05064|ALDOA_MOUSE	125882292	111841091	134459367	147046802	132383618	127278629	139763292	137968747	129293266	129039654
sp|P17710|HXK1_MOUSE	118501158	110169560	137148149	142439682	126292558	128481860	151262642	132017567	125910836	128505428
sp|Q8VDN2|AT1A1_MOUSE	116192649	110727111	136864964	140211834	145165815	123848044	136355612	116850396	134336276	120338154
sp|P06745|G6PI_MOUSE	120972420	110540808	127005129	129921527	127139740	116855914	139874958	135171619	120955259	127253560
sp|Q9QXS1|PLEC_MOUSE_family	131213637	101642115	125208454	129008013	123748016	117902144	134377743	119699786	124410174	113075795
sp|Q08331|CALB2_MOUSE	115267432	119939740	127218223	138024607	132977493	113790355	119444070	108365611	141570529	100845257
sp|P18760|COF1_MOUSE	109041952	114055018	124213393	118637131	127210769	119924336	128530609	124174372	130719146	115315189
sp|P14152|MDHC_MOUSE	117654646	104755531	125488748	132100682	127911872	117518927	125926751	127789443	116495846	115924166
sp|P05213|TBA1B_MOUSE_family	120732704	106909610	114417380	136208481	114959871	119176771	118249805	141704255	116165821	122264285
sp|P20152|VIME_MOUSE	107437268	95554920	147956437	135833556	134679824	116437708	130916492	99299356	132292627	96731525
sp|Q8C8R3|ANK2_MOUSE	102778490	105782665	122393601	131914363	124790506	116355663	124643711	121892925	125453787	113489846
sp|P13595|NCAM1_MOUSE	104220099	106921353	113397966	135493006	121364517	114682832	119365733	135121640	121243137	116633264
sp|P05063|ALDOC_MOUSE	107332268	112082692	134773473	120804694	123197918	110699684	128404011	115525602	122422770	110869551
sp|P26443|DHE3_MOUSE	111647200	105435790	118305564	129676257	113032320	108449774	125598159	119954781	111803983	111184117
sp|Q9QYR6|MAP1A_MOUSE	111401208	98752912	116316292	128489306	115564226	112336131	118086724	121082578	116087310	109052539
sp|P61264|STX1B_MOUSE	97494145	96810572	113666485	118392215	119197387	114215688	125261402	115191249	120684934	106405778
sp|P12658|CALB1_MOUSE	89043202	96098859	121618605	114974383	121908475	110853435	122724987	97673180	131992581	106279702
sp|P47857|PFKAM_MOUSE	97416837	94084657	116334820	113609385	110912463	100720974	114035827	103231404	111644582	98184163
sp|P39053|DYN1_MOUSE	91638834	92108332	108404068	113996737	108574006	100438545	114652556	104226223	110515780	104955296
sp|Q9R0K7|AT2B2_MOUSE	82322154	91448976	112087854	108516380	115135821	103340035	116541482	96860199	115813868	101673394
sp|Q9D6R2|IDH3A_MOUSE	94053082	85831055	112334277	110402627	101816055	104408797	118443447	106993216	100570196	106163735
sp|Q9CQQ7|AT5F1_MOUSE	89311007	84686535	108289146	110538612	103706098	106034446	115199979	104045080	99132033	101210045
sp|Q60932|VDAC1_MOUSE	94557949	87067661	108374029	113783977	102471328	99733463	109270289	101223711	97707239	99224822
sp|P58252|EF2_MOUSE	94023528	85793401	104631233	112057078	108591979	100507993	99183923	102643632	102663076	102606797
sp|P0DP26|CALM1_MOUSE (+2)	88234016	90626930	104212812	111671346	102938587	97183797	105514263	104846314	106210458	98199793
sp|P10854|H2B1M_MOUSE_family	80896608	88030006	100242026	114913083	114427772	99745400	105551756	90900462	111787228	100499135
sp|P07901|HS90A_MOUSE	96036488	85220394	111487042	113443813	101471903	91275066	100772881	96599150	103507253	102346537
sp|P63101|1433Z_MOUSE	88028032	86933914	109713780	110528840	103384056	96478995	107259829	101669551	99732436	94325312
sp|P14873|MAP1B_MOUSE	103868403	84721482	99820332	106083980	97357169	95707546	103618844	106377609	99407409	98037721
sp|O08749|DLDH_MOUSE	88830883	82431637	106663464	105256670	99311904	99961845	115181200	97222553	97256039	94888223
sp|Q61879|MYH10_MOUSE	87502419	86311716	103412002	109704996	103756759	96758999	103445879	93599542	104968317	96313987
sp|O88569|ROA2_MOUSE	85783028	83214695	105891359	108065976	108142242	94311929	104143370	86667586	108898093	95170762
sp|O08709|PRDX6_MOUSE	96278890	89018185	99493518	103288760	97800220	90307753	99896032	103056106	96466707	101012358
sp|P14094|AT1B1_MOUSE	96643879	83367065	95949406	111556983	100889229	91208992	98359942	109934010	91962826	93799089
sp|P20357|MTAP2_MOUSE	94225771	90778658	93631838	120077018	88205778	86851641	86617098	128345429	83211247	100264366
sp|P61922|GABT_MOUSE	94089917	82093052	87720086	105113194	91642152	93797386	100603377	112648478	94377826	102608391
sp|Q02053|UBA1_MOUSE	88921644	82911736	96978514	101857611	98436516	91116019	98861430	93861294	97251003	91011192
sp|P62897|CYC_MOUSE	86246550	78613320	102119190	97363504	94211060	96221162	106129433	90492385	93559272	92975782
sp|P50396|GDIA_MOUSE	84100773	79762820	95833239	98253658	95332613	86144611	96418107	96798178	95075950	83770143
sp|Q91VR2|ATPG_MOUSE	81116446	75826641	96434050	94639316	90157049	89572262	100853618	88578574	87403667	88309511
sp|P97807|FUMH_MOUSE	81467673	73323783	93927541	93031987	87201120	88805207	105987503	88984799	88350319	89464919
sp|Q9DCX2|ATP5H_MOUSE	76572312	75076137	91300383	91718951	91083687	92287660	100188660	90732795	87528921	92160329
sp|Q8CAQ8|MIC60_MOUSE	78171257	73282938	97468471	93831945	90331633	89583163	97419054	88929887	86384016	85059139
sp|P62814|VATB2_MOUSE	77417531	78575093	88549989	93951865	92063095	82382449	92944172	93094535	92592346	87078204
sp|P40142|TKT_MOUSE	83898441	78488112	89885748	94175705	88293044	83817007	96821834	91598383	88492037	81383172
sp|P20029|BIP_MOUSE	80609958	76403460	91138717	93044334	93921502	81380090	85016080	83961058	87781338	89629720
sp|Q7TSJ2|MAP6_MOUSE	84778230	76643682	82184208	94960769	82362548	80736865	83293394	102210131	79646800	79961647
sp|Q9WV92|E41L3_MOUSE	86117131	75011455	82759168	92622006	80649278	78659799	85258293	96055082	81046347	80413521
sp|Q8VEK3|HNRPU_MOUSE	74295595	72248054	91219806	92422877	89664830	83077279	86137388	80772288	87587168	78355421
sp|Q9D6F9|TBB4A_MOUSE	74882297	70604207	87605853	90583351	83152118	83078292	87609529	86784696	87454241	78388111
sp|Q62420|SH3G2_MOUSE	71611437	70767421	87562372	92071919	87397160	78617658	92018284	77939627	85440561	74499437
sp|P46660|AINX_MOUSE	85360553	67174919	75786156	79665515	79654342	86112520	94929142	85358141	81259244	74488853
sp|Q9Z2I9|SUCB1_MOUSE	75476362	68124615	88482426	86322765	78424631	80105707	93983293	82537465	76471214	79498549
sp|P19536|COX5B_MOUSE	73218111	68960112	87833637	87227339	79666158	80343785	91238771	81986556	76075932	82509960
sp|P62761|VISL1_MOUSE	69751862	69310710	78657641	80658055	81262903	81829003	87268164	79123861	84314078	75321684
tr|Q91VA7|Q91VA7_MOUSE	69727186	64099791	84142225	81647051	77057043	80962900	88989449	84761307	73844209	80827172
sp|Q02357|ANK1_MOUSE	70724865	65983826	82035609	85942141	81789351	77163073	88295741	71884311	83501773	73201394
sp|P61979|HNRPK_MOUSE	67070775	66462545	81623333	86887327	84430495	78483992	80533540	75042975	79638680	75798887
sp|P61982|1433G_MOUSE	74626513	67343704	77463483	86693369	75634190	72955965	76808097	82425708	76988750	74136772
sp|Q9CZ13|QCR1_MOUSE	69626156	61699221	84708145	77837085	77416889	75442408	88987758	77129660	70480696	77379449
sp|P05201|AATC_MOUSE	70912027	68915195	76708400	78837523	74714082	70940752	86105827	82293164	75677666	74686655
