"accessions"	"S1-1_tmm_SET1-2"	"S5-2_tmm_SET1-2"	"S1-2_tmm_SET1-2"	"S3-2_tmm_SET1-2"	"S2-2_tmm_SET1-2"	"S4-1_tmm_SET1-2"	"S2-1_tmm_SET1-2"	"S5-1_tmm_SET1-2"	"S4-2_tmm_SET1-2"	"S3-1_tmm_SET1-2"	"logFC_SET1-2"	"FC_SET1-2"	"PValue_SET1-2"	"FDR_SET1-2"	"ave_SET1_SET1-2"	"ave_SET2_SET1-2"	"direction_SET1-2"	"candidate_SET1-2"	"Acc_SET1-2"
"sp|P16546|SPTN1_MOUSE"	592223970.56269	636542656.10901	591466308.794247	635137464.472278	611027294.078269	568539972.064956	609432998.675786	634715688.165791	599341719.527733	617155967.138327	-0.0176144871359719	-1.01228427181388	0.746917642650922	0.999774176698863	613279538.803299	605837269.114519	"down"	"no"	"sp|P16546|SPTN1_MOUSE"
"sp|P04370|MBP_MOUSE"	531632504.765921	502564186.988632	432424204.916844	539761055.190873	485904595.716572	749186606.403929	469600934.576529	440069588.219863	376575984.551096	441961106.004505	-0.00864649291426823	-1.0060112870629	0.957338254400801	0.999774176698863	498457309.515768	495478843.951184	"down"	"no"	"sp|P04370|MBP_MOUSE"
"sp|Q03265|ATPA_MOUSE"	464260530.485552	445251450.72716	473646099.485164	517520116.90801	488382604.616392	463669125.511416	457795315.338152	489893124.122669	468237187.501591	457586102.269167	-0.0316741941330385	-1.02219766064487	0.580783322769811	0.999774176698863	477812160.444456	467436170.948599	"down"	"no"	"sp|Q03265|ATPA_MOUSE"
"sp|Q04447|KCRB_MOUSE"	458084460.231327	483791303.873359	458377604.39198	483442916.055575	442912771.030797	433725019.020565	491234755.780583	450691809.086854	428728154.536517	461834065.215518	-0.0379448376499266	-1.0266502886206	0.516924301354357	0.999774176698863	465321811.116608	453242760.728007	"down"	"no"	"sp|Q04447|KCRB_MOUSE"
"sp|P16858|G3P_MOUSE_family"	375268041.951066	368288637.508979	356934356.501755	378222348.911516	365051153.975895	369274698.732767	378256883.852492	363134255.433876	360187967.097227	372820407.949445	-7.06811926988065e-05	-1.00004899226922	0.998842333698334	0.999774176698863	368752907.769842	368734842.613161	"down"	"no"	"sp|P16858|G3P_MOUSE_family"
"sp|P56480|ATPB_MOUSE"	360544957.40427	361499728.174769	378237767.561236	412860929.235973	374907773.901626	342945997.36854	355339229.497614	373152607.848576	347048021.344389	349878774.87126	-0.0944820703391197	-1.06768203980902	0.102025087118528	0.999774176698863	377610231.255575	353672926.186076	"down"	"no"	"sp|P56480|ATPB_MOUSE"
"sp|Q68FD5|CLH1_MOUSE"	345620808.781556	356082922.986315	337113415.612587	366440811.970834	324667814.978901	335085626.868769	358237994.09972	341121350.938498	339068926.372563	347371049.42467	-0.00755949258410192	-1.0052535915536	0.889625293795641	0.999774176698863	345985154.866038	344176989.540844	"down"	"no"	"sp|Q68FD5|CLH1_MOUSE"
"sp|Q6PIC6|AT1A3_MOUSE_family"	387203210.124719	313692624.960263	344995156.773006	320826688.878972	323425225.263833	352633672.752785	335329213.083093	311086134.434544	344451540.526408	314066891.404123	-0.0280776565248169	-1.01965256602776	0.697146716249816	0.999774176698863	338028581.200159	331513490.440191	"down"	"no"	"sp|Q6PIC6|AT1A3_MOUSE_family"
"sp|Q62261|SPTB2_MOUSE"	341657646.229452	333250273.46243	318646934.115688	334139674.984402	326977255.873306	331640282.797105	328879713.883727	334240396.413514	335515707.775238	334268564.871827	0.00858250710877194	1.00596667034975	0.858689627297487	0.999774176698863	330934356.933056	332908933.148282	"up"	"no"	"sp|Q62261|SPTB2_MOUSE"
"sp|P08249|MDHM_MOUSE"	309306464.059617	299693759.071457	319058473.796872	364804118.288011	326297584.840172	303711362.048677	305432132.169087	331728157.714185	306843014.959605	302748192.454143	-0.0625469437393443	-1.04430776286987	0.336449200985347	0.999774176698863	323832080.011226	310092571.869139	"down"	"no"	"sp|P08249|MDHM_MOUSE"
