"accessions"	"IRSNorm_FLI.S1.1_2_tmm_SET1-2"	"IRSNorm_FLI.S2.1_2_tmm_SET1-2"	"IRSNorm_FLI.S2.2_2_tmm_SET1-2"	"IRSNorm_FLI.S4.2_2_tmm_SET1-2"	"IRSNorm_BGS.S4.1_1_tmm_SET1-2"	"IRSNorm_BGS.S2.1_1_tmm_SET1-2"	"IRSNorm_BGS.S2.2_1_tmm_SET1-2"	"IRSNorm_FLI.S1.2_2_tmm_SET1-2"	"IRSNorm_BGS.S1.1_1_tmm_SET1-2"	"IRSNorm_BGS.S1.2_1_tmm_SET1-2"	"IRSNorm_BGS.S3.1_1_tmm_SET1-2"	"IRSNorm_BGS.S3.2_1_tmm_SET1-2"	"IRSNorm_BGS.S4.2_1_tmm_SET1-2"	"IRSNorm_FLI.S3.1_2_tmm_SET1-2"	"IRSNorm_FLI.S3.2_2_tmm_SET1-2"	"IRSNorm_FLI.S4.1_2_tmm_SET1-2"	"logFC_SET1-2"	"FC_SET1-2"	"PValue_SET1-2"	"FDR_SET1-2"	"ave_SET1_SET1-2"	"ave_SET2_SET1-2"	"direction_SET1-2"	"candidate_SET1-2"	"Acc_SET1-2"
"sp|P16546|SPTN1_MOUSE"	386312238.430919	397388910.971445	398538978.032758	390946839.429228	375448760.386209	395136006.788693	398889821.396226	385757622.014093	387736862.987329	383829715.326724	405042821.480635	414913996.965361	390934502.352768	402615360.576651	413847871.733524	370669233.483759	0.0188625667940273	1.01316038072965	0.596014585494732	1	391052397.181196	396198795.613344	"up"	"no"	"sp|P16546|SPTN1_MOUSE"
"sp|P04370|MBP_MOUSE"	459555870.498587	405782242.404828	419986668.921007	325514338.730285	678060422.542266	430639908.576682	443433173.382061	373739333.736875	492501967.461111	404555458.259985	392116851.182854	466428648.55329	341813013.06224	382079526.092107	466067530.650797	647276511.578831	0.0227157651363824	1.0158699799991	0.870501785992808	1	442088994.849074	449104938.355152	"up"	"no"	"sp|P04370|MBP_MOUSE"
"sp|Q03265|ATPA_MOUSE"	398180217.710426	392488154.012356	418828098.339052	401582270.756446	380090086.450507	391501465.520626	426419301.192624	406166312.89514	398766281.346679	415363055.391043	388425545.066335	446483729.995022	389929742.319926	392494580.094076	443369345.776378	397465232.679421	0.025370352770329	1.01774092247827	0.553742223807418	1	401906988.359647	409037189.08361	"up"	"no"	"sp|Q03265|ATPA_MOUSE"
"sp|P16858|G3P_MOUSE_family"	390787950.963048	393752855.970997	380111506.991284	375076189.593468	382582769.320833	389005466.532244	384557134.623929	371637865.071747	397203562.785376	382809830.030056	389937366.681063	392566359.503105	377745529.79022	388277463.530971	393429826.428436	384345842.328375	0.018135633362901	1.01265000603448	0.564216846236753	1	383438967.383444	388289472.6347	"up"	"no"	"sp|P16858|G3P_MOUSE_family"
"sp|Q04447|KCRB_MOUSE"	327097687.869589	350637446.418061	316233464.052959	306129111.892615	315250744.112004	353080006.831646	323942888.428526	327255779.52569	323136818.828709	328899229.826144	338269850.769474	342578031.467093	320402948.609183	329807707.391889	344824111.588283	309541897.670864	0.00978806313832765	1.00680763564487	0.81001238033757	1	327453391.141386	329682574.518955	"up"	"no"	"sp|Q04447|KCRB_MOUSE"
"sp|P56480|ATPB_MOUSE"	282735037.695035	278548391.727946	293969557.055482	272145081.9847	269545475.263403	270099421.592346	286042668.869357	296563102.407334	271799354.670054	295193850.211589	276470543.351586	314005852.619789	272918442.766771	274397862.863351	323403340.455344	268793644.084169	0.0300403552762331	1.02104068677792	0.525753154220356	1	281206092.07445	287122861.377832	"up"	"no"	"sp|P56480|ATPB_MOUSE"
"sp|P08249|MDHM_MOUSE"	275811811.467206	272255011.052293	290934638.379179	273609276.727647	264293970.301912	265497249.255928	294440503.710869	284463249.418421	281278197.007556	288900031.679716	268086029.665299	321203015.266035	271315642.635456	269990414.752799	324940696.450829	270681113.88157	0.0479629475367635	1.03380418583411	0.338050439114458	1	277663213.789182	287049392.667407	"up"	"no"	"sp|P08249|MDHM_MOUSE"
"sp|Q68FD5|CLH1_MOUSE"	254655179.26383	263852715.812982	239193611.582542	249822375.564186	246104630.49607	264769344.457277	245361819.001516	248348011.045095	262632210.260196	249679194.433459	254807148.251875	271149721.589231	251922074.09032	255970062.445654	269697536.042954	246763818.604268	0.0357717703937488	1.02510505715734	0.331647739358067	1	251513460.902937	257827720.714745	"up"	"no"	"sp|Q68FD5|CLH1_MOUSE"
"sp|Q6PIC6|AT1A3_MOUSE_family"	299079970.151277	258914911.404272	249792834.011768	266052425.355181	266866230.72624	255410587.787224	256895927.571867	266436301.721434	302701410.841986	269255410.416632	248253161.390637	245583763.362214	262421885.410266	242612658.800571	247536575.663768	272235784.330341	-0.019771877496768	-1.0137991626999	0.702332255039795	1	264931148.591158	261325081.277052	"down"	"no"	"sp|Q6PIC6|AT1A3_MOUSE_family"
"sp|P60710|ACTB_MOUSE_family"	265731215.170994	270872220.998326	263419328.650816	260310888.751261	264741646.869211	280983267.111455	267819296.953849	259191077.644742	268378190.969859	275695992.95789	269996875.318077	274550971.221323	274735195.638871	269089356.187795	270805196.580395	251177179.545767	0.0143749322781733	1.01001374866383	0.672671808941698	1	266633617.768832	269303619.802497	"up"	"no"	"sp|P60710|ACTB_MOUSE_family"
"sp|Q62261|SPTB2_MOUSE"	230813629.70961	222098019.223714	220874489.316109	226659473.23162	222668935.292986	222918603.806264	222157474.774963	215234590.839572	231979235.373461	215419917.51357	224226005.54681	225568878.027785	225432334.054856	225844108.325811	225485626.008203	223929150.741982	0.0116502271009985	1.00810801555699	0.712304666192697	1	222928152.024355	224735656.94906	"up"	"no"	"sp|Q62261|SPTB2_MOUSE"
"sp|P60202|MYPR_MOUSE"	259081760.588284	203532242.836259	236416098.976316	195891316.552229	332457095.976259	213905571.080154	243694437.376896	211236209.569263	273539161.457024	216517718.033049	238301154.596704	229363116.287858	202104772.823873	232746451.567265	233015334.47856	322665151.13253	0.0390585861382739	1.02744316164029	0.720924405784917	1	237026841.619458	243531607.547108	"up"	"no"	"sp|P60202|MYPR_MOUSE"
"sp|P52480|KPYM_MOUSE"	230560634.38323	229344109.264335	224464337.805842	216450263.456993	233827027.578967	224065670.602681	225633586.121953	216703417.049469	235865310.771194	215533404.614376	220153942.448128	225567182.500449	216102567.963254	217469885.429245	226345508.412177	238332718.500863	-0.00455585783368958	-1.00316287115027	0.899757763197039	1	225131130.782934	224421315.079961	"down"	"no"	"sp|P52480|KPYM_MOUSE"
"sp|P63017|HSP7C_MOUSE"	220588249.877652	217497603.24129	211900525.454398	220159285.92412	228839660.911085	219464232.131031	215326802.885035	220654841.218803	222870600.970446	226668968.510296	214565718.351241	214688637.874732	216628762.153805	215120857.685569	217603030.566483	234448028.631539	0.00669731957874409	1.00465301978958	0.843411834978165	1	219303900.205427	220324325.593014	"up"	"no"	"sp|P63017|HSP7C_MOUSE"
"sp|O08599|STXB1_MOUSE"	213725858.068125	216604858.95752	212240267.056272	215578706.105784	204565591.148331	216667949.984243	218162345.43367	195889660.533608	214487765.445352	203102118.248507	213936246.205274	231071481.49472	216476787.890261	210431977.339252	234139358.677482	206714528.65883	0.0311196253534962	1.02180480591113	0.442782282296698	1	211679404.660944	216295032.99496	"up"	"no"	"sp|O08599|STXB1_MOUSE"
"sp|P17182|ENOA_MOUSE_family"	215551906.390558	220765770.703657	213056851.075401	212587045.895426	219279636.591891	226078341.117443	216477035.203149	221647532.652862	214765672.616118	223800803.428224	214948576.751755	225010241.731027	215443969.241363	217881381.718317	225851412.695001	216121924.331444	0.0069097932450324	1.00480099178691	0.828819687600526	1	218180514.953798	219227997.814156	"up"	"no"	"sp|P17182|ENOA_MOUSE_family"
"sp|P16330|CN37_MOUSE"	236669798.597954	200783501.568584	191330905.724868	184685476.307402	288242009.861717	198421226.254973	196689994.829959	186421262.061916	238421996.144252	188108860.308193	195952137.452707	187094362.732743	185631086.036135	195366159.152246	188914741.232032	288633620.130885	-0.0130188333265197	-1.00906480658312	0.904114566155974	1	210405521.900921	208515370.398649	"down"	"no"	"sp|P16330|CN37_MOUSE"
"sp|O08553|DPYL2_MOUSE"	214447412.347399	200276586.942368	188481284.850491	203873966.597477	199969175.012053	198060102.735593	192669380.607634	193364862.800759	212168641.877752	192477669.048165	187923469.107395	204344150.283455	200536929.280251	192338837.013283	202934034.147791	203920430.293033	0.00497952573826606	1.00345750818501	0.897583381528792	1	198892846.486722	199580520.131391	"up"	"no"	"sp|O08553|DPYL2_MOUSE"
"sp|P16125|LDHB_MOUSE"	161033264.715152	160732965.85045	155741606.959479	157647036.757358	171236684.161684	165866860.242977	159740559.068584	157468590.106287	168479699.823196	162323810.981703	157237904.254782	168388139.201847	158579780.768993	158051098.754163	166718045.46852	168690226.846367	0.0211039330877854	1.01473564648788	0.546306397203967	1	161183445.982746	163558588.262447	"up"	"no"	"sp|P16125|LDHB_MOUSE"
"sp|Q99KI0|ACON_MOUSE"	166973714.573607	165632932.594682	169204669.763644	170031734.650925	172082867.435524	164500394.07246	174919754.354223	179980431.992759	172829870.119014	183008318.84358	171059226.769515	192800698.815954	165634283.77911	169220377.042418	191051189.24373	180356997.18652	0.0648033733101346	1.04594237872428	0.114915878723976	1	170415812.429728	178245120.22498	"up"	"no"	"sp|Q99KI0|ACON_MOUSE"
"sp|Q9JHU4|DYHC1_MOUSE"	161312563.068213	153172943.097609	149741500.07965	155072914.561117	160561714.201652	152532075.233702	149907788.136702	148217797.236133	160486223.360074	147358335.340404	153391799.807438	150417711.600918	156085336.943751	153911501.923264	149351613.553816	160043249.204723	0.000617124159115912	1.00042784873142	0.985955001383036	1	153814911.951847	153880721.466799	"up"	"no"	"sp|Q9JHU4|DYHC1_MOUSE"
"sp|Q6PIE5|AT1A2_MOUSE_family"	163885744.745397	164815969.095232	149979451.13732	156115988.364319	170729127.280058	165686175.584863	150372711.118841	164979418.231476	166451388.594952	167034549.350756	153966086.025956	149697719.000847	157142527.905309	154335765.864751	152667754.849739	169153911.646355	-0.0181846203479313	-1.01268439220991	0.6663288160525	1	160820573.194688	158806212.904833	"down"	"no"	"sp|Q6PIE5|AT1A2_MOUSE_family"
"sp|P11881|ITPR1_MOUSE_family"	122154645.989764	153351282.124204	145561833.693763	137395592.102027	128332048.75177	152741721.409043	147362817.195101	153378857.434071	124383398.698431	155044580.819486	177220787.181427	172083842.651636	140374987.407276	174232817.352657	169450306.727961	128110779.767183	0.122001995413986	1.08824394702511	0.133856035654074	1	142534849.837468	155112687.575757	"up"	"no"	"sp|P11881|ITPR1_MOUSE_family"
"sp|P09411|PGK1_MOUSE"	168214393.005266	162697115.613719	156762165.043738	160787727.048873	170816620.738929	166452576.803695	158481717.474363	156775943.461023	170716540.497525	159550331.020822	159285293.524037	161077156.825795	158771229.597469	157043178.665472	158925211.633718	173169773.138414	-0.00271891456195989	-1.00188638525617	0.94056150877637	1	162623532.398701	162317339.362907	"down"	"no"	"sp|P09411|PGK1_MOUSE"
"sp|P05202|AATM_MOUSE"	144045833.271003	138396778.12652	137572888.984392	132764362.668171	136083912.873649	137592129.929498	144787590.332955	134929292.689066	143951756.783894	141775507.014618	132401683.192023	155181594.202294	136672442.950838	128931611.667844	152537755.281098	133382834.252345	0.024136868305317	1.0168711404379	0.586031558027456	1	138271598.609407	140604398.168119	"up"	"no"	"sp|P05202|AATM_MOUSE"
"sp|P62259|1433E_MOUSE"	118081704.820967	124551110.759399	120010853.54794	119128036.108082	116012538.887402	122849243.282165	119702108.907507	120031450.170679	121293431.915743	120578159.65423	121465288.278323	124482314.96467	123293549.325691	122532951.983058	124775841.218661	117121194.005854	0.0226191667584138	1.01580196334063	0.472710511567131	1	120045880.810518	121942841.418279	"up"	"no"	"sp|P62259|1433E_MOUSE"
"sp|O88935|SYN1_MOUSE"	135362302.376854	125320144.195941	122358872.596391	129754194.559097	117390981.626579	127666785.233958	123693833.431233	119348118.544267	136815845.565381	120183489.329527	124197893.853437	130891317.525958	131444466.265148	122313508.630485	131305379.516322	117437089.657804	0.0196044394404569	1.01368150964678	0.648731511493747	1	125111904.07054	126823623.793008	"up"	"no"	"sp|O88935|SYN1_MOUSE"
"sp|P05064|ALDOA_MOUSE"	141777717.766064	134855674.57484	135742050.397395	140328832.366404	138209752.964635	137726206.166312	136065735.406802	136198653.613118	141647633.037873	136264101.708024	136439205.880339	138791172.335437	137024682.022767	133146840.603371	142636949.653355	141874176.9822	0.00904020322745597	1.00628586602473	0.774519349741873	1	137613077.906946	138478095.277921	"up"	"no"	"sp|P05064|ALDOA_MOUSE"
"sp|P17742|PPIA_MOUSE_family"	133856525.303555	137214679.433949	130528898.552314	132642554.012193	133275925.024719	138039978.232611	130286320.899148	126113645.490277	131351994.279336	131730951.455964	133871308.1999	133467577.935324	130158032.452647	135709481.985356	139041829.644074	138857269.337671	0.0165196830566394	1.01151638037753	0.621086186735565	1	132744815.868596	134273555.661284	"up"	"no"	"sp|P17742|PPIA_MOUSE_family"
"sp|P63038|CH60_MOUSE"	124509255.049439	119080974.180461	125562754.684257	114762396.038423	117226513.860345	115331162.69689	123628966.123889	128743082.062433	121624184.454729	127583117.740297	113715852.65947	120727857.077101	116468698.580103	113127243.945643	120885571.889835	116706034.83961	-0.0270656201698432	-1.01893754023488	0.488531013719838	1	121105638.087017	118854820.148349	"down"	"no"	"sp|P63038|CH60_MOUSE"
"sp|P99029|PRDX5_MOUSE"	110999425.292635	112071541.783253	113421480.932872	105072837.117515	113817592.594052	111718715.644049	117238324.775513	113891854.173157	118007009.401822	113471145.318895	109710632.317663	124950803.115295	110504242.688209	112604218.408119	125454704.869684	108966766.418485	0.0402890094218671	1.02831980676838	0.327083636485303	1	112278971.539131	115458690.317271	"up"	"no"	"sp|P99029|PRDX5_MOUSE"
"sp|P08553|NFM_MOUSE"	132850547.468978	112234321.041091	122160854.664914	101251412.194264	202458583.180895	113805158.153841	124893132.026808	111158913.009669	134877613.410389	112718439.838924	107836180.576788	115735223.902841	102079008.962234	107834469.838975	115638583.09559	198619715.338633	-0.0364582771909147	-1.02559296959393	0.805835162933766	1	127601615.217558	124417404.370547	"down"	"no"	"sp|P08553|NFM_MOUSE"
"tr|Q68FG2|Q68FG2_MOUSE"	103955390.983568	119621467.835404	116510852.149608	110404131.047693	100583384.710213	120329500.016115	117959999.654889	116521260.628194	103835881.601144	117428020.51354	122020809.435215	124351804.078595	110605235.621849	120282125.447526	124230736.03644	100845107.148386	0.0279382477458808	1.0195540422423	0.617725367121275	1	113235748.378211	115449964.985337	"up"	"no"	"tr|Q68FG2|Q68FG2_MOUSE"
"sp|Q8VDN2|AT1A1_MOUSE"	112053604.326794	124592006.829516	123258377.960935	124866050.450602	121762982.90608	123571884.603244	126269899.989971	118528108.074839	111134574.118703	118809410.102998	133249157.350444	129425321.755581	122151066.238904	136247755.114098	129861470.059196	122204091.849848	0.041110304466246	1.02890537202229	0.365090399999937	1	121862864.392748	125385355.823721	"up"	"no"	"sp|Q8VDN2|AT1A1_MOUSE"
"sp|Q9DBJ1|PGAM1_MOUSE_family"	110064308.610545	111171840.947348	103849220.174211	106973758.549811	109468831.694043	111132980.044149	106064866.487754	106034635.918307	113010589.036275	108125071.029578	109599182.70094	111388196.863576	106194129.657141	104670038.375	111945207.046395	109552221.401147	0.0161325070687021	1.01124495664557	0.623579970642907	1	108095055.303271	109310579.513757	"up"	"no"	"sp|Q9DBJ1|PGAM1_MOUSE_family"
"sp|P46460|NSF_MOUSE"	122448072.099461	113880845.753692	108027301.231598	113801630.416795	115659548.018409	113701102.274691	108886462.676162	106654000.157667	121442409.688077	107970283.357292	108271903.21463	117174631.954443	113035805.097383	109336638.706793	116312811.168748	114938104.711816	0.00863867565120265	1.00600583737625	0.828762559265994	1	112882370.328559	113560323.487398	"up"	"no"	"sp|P46460|NSF_MOUSE"
"sp|P17751|TPIS_MOUSE"	114108966.745116	124225082.697215	116943603.308757	117276520.920448	116357129.390598	120899229.002954	116443556.524895	112811055.941717	114393727.133045	115745553.723516	122493669.735403	123379337.542327	116441819.486266	124429195.599508	123120104.575459	118304472.155985	0.0292639881853775	1.02049137435444	0.405389789953619	1	117383143.066463	119788484.993939	"up"	"no"	"sp|P17751|TPIS_MOUSE"
"sp|P68033|ACTC_MOUSE_family"	106385089.214873	113769881.198168	108049325.593327	106002208.657322	98139031.3153122	116123263.789373	112903097.038878	109204033.289287	109118727.419899	108371329.18891	110522487.217835	110517570.745627	111670382.13269	113497137.808437	119129723.543261	98542158.687591	0.0177768666255855	1.01239821395764	0.689307974992414	1	108821991.262068	110171189.593031	"up"	"no"	"sp|P68033|ACTC_MOUSE_family"
"sp|P61264|STX1B_MOUSE"	109202818.3864	107690579.412259	112375534.696922	104232119.414451	103404024.333709	108903874.022026	115132531.754344	103610062.267166	110582263.565866	106665641.530381	110307507.697392	121038033.280635	109393953.759146	110598809.154587	117935155.895879	101368809.280827	0.0384292550415926	1.02699507048672	0.360765671947452	1	108068943.03591	110986271.770589	"up"	"no"	"sp|P61264|STX1B_MOUSE"
"sp|P17183|ENOG_MOUSE"	105905546.69928	106926506.279838	99599327.9990788	101278348.389421	102210368.450098	106048028.04609	99449532.0348127	104230113.216076	108172866.073574	107653739.552392	103603665.241913	102880857.296546	102279011.698491	99003271.4695437	101911055.179686	99698848.0665851	-0.000776829011804126	-1.00053860246088	0.982027231766845	1	103205971.389337	103150414.322341	"down"	"no"	"sp|P17183|ENOG_MOUSE"
"sp|P05063|ALDOC_MOUSE"	102620890.917698	116825235.335203	102055303.437977	99656450.2522565	101860828.331772	119989216.946567	102494467.43385	101156127.171968	103516022.147067	102561498.350476	108566132.98308	112060168.760753	94113878.6702627	107110060.758281	113278577.972656	104568119.86116	-0.0015072147184463	-1.00104526722653	0.976470187226114	1	105832314.978411	105721807.437967	"down"	"no"	"sp|P05063|ALDOC_MOUSE"
