"accessions"	"IRSNorm_BGS.S1.1_1_tmm_BGS-FLI"	"IRSNorm_BGS.S1.2_1_tmm_BGS-FLI"	"IRSNorm_BGS.S2.1_1_tmm_BGS-FLI"	"IRSNorm_BGS.S2.2_1_tmm_BGS-FLI"	"IRSNorm_BGS.S3.1_1_tmm_BGS-FLI"	"IRSNorm_BGS.S3.2_1_tmm_BGS-FLI"	"IRSNorm_BGS.S4.1_1_tmm_BGS-FLI"	"IRSNorm_BGS.S4.2_1_tmm_BGS-FLI"	"IRSNorm_FLI.S1.1_2_tmm_BGS-FLI"	"IRSNorm_FLI.S1.2_2_tmm_BGS-FLI"	"IRSNorm_FLI.S2.1_2_tmm_BGS-FLI"	"IRSNorm_FLI.S2.2_2_tmm_BGS-FLI"	"IRSNorm_FLI.S3.1_2_tmm_BGS-FLI"	"IRSNorm_FLI.S3.2_2_tmm_BGS-FLI"	"IRSNorm_FLI.S4.1_2_tmm_BGS-FLI"	"IRSNorm_FLI.S4.2_2_tmm_BGS-FLI"	"logFC_BGS-FLI"	"FC_BGS-FLI"	"PValue_BGS-FLI"	"FDR_BGS-FLI"	"ave_BGS_BGS-FLI"	"ave_FLI_BGS-FLI"	"direction_BGS-FLI"	"candidate_BGS-FLI"	"Acc_BGS-FLI"
"sp|P16546|SPTN1_MOUSE"	387736862.987329	383829715.326724	395136006.788693	398889821.396226	405042821.480635	414913996.965361	375448760.386209	390934502.352768	386312238.430919	385757622.014093	397388910.971445	398538978.032758	402615360.576651	413847871.733524	370669233.483759	390946839.429228	-0.0026826275224207	-1.00186118550494	0.940832902538964	0.996659791239614	393991560.960493	393259631.834047	"down"	"no"	"sp|P16546|SPTN1_MOUSE"
"sp|P04370|MBP_MOUSE"	492501967.461111	404555458.259985	430639908.576682	443433173.382061	392116851.182854	466428648.55329	678060422.542266	341813013.06224	459555870.498587	373739333.736875	405782242.404828	419986668.921007	382079526.092107	466067530.650797	647276511.578831	325514338.730285	-0.0686302217193191	-1.04872049478864	0.621223986381992	0.946464129474351	456193680.377561	435000252.826665	"down"	"no"	"sp|P04370|MBP_MOUSE"
"sp|Q03265|ATPA_MOUSE"	398766281.346679	415363055.391043	391501465.520626	426419301.192624	388425545.066335	446483729.995022	380090086.450507	389929742.319926	398180217.710426	406166312.89514	392488154.012356	418828098.339052	392494580.094076	443369345.776378	397465232.679421	401582270.756446	0.00604649340636034	1.00419990494531	0.889523765492916	0.994021625773777	404622400.910345	406321776.532912	"up"	"no"	"sp|Q03265|ATPA_MOUSE"
"sp|P16858|G3P_MOUSE_family"	397203562.785376	382809830.030056	389005466.532244	384557134.623929	389937366.681063	392566359.503105	382582769.320833	377745529.79022	390787950.963048	371637865.071747	393752855.970997	380111506.991284	388277463.530971	393429826.428436	384345842.328375	375076189.593468	-0.00887447155795438	-1.00617027297809	0.781453220309152	0.976426578669718	387051002.408353	384677437.609791	"down"	"no"	"sp|P16858|G3P_MOUSE_family"
"sp|Q04447|KCRB_MOUSE"	323136818.828709	328899229.826144	353080006.831646	323942888.428526	338269850.769474	342578031.467093	315250744.112004	320402948.609183	327097687.869589	327255779.52569	350637446.418061	316233464.052959	329807707.391889	344824111.588283	309541897.670864	306129111.892615	-0.0186796874528725	-1.01303195784417	0.647125817431323	0.94925688226669	330695064.859098	326440900.801244	"down"	"no"	"sp|Q04447|KCRB_MOUSE"
"sp|P56480|ATPB_MOUSE"	271799354.670054	295193850.211589	270099421.592346	286042668.869357	276470543.351586	314005852.619789	269545475.263403	272918442.766771	282735037.695035	296563102.407334	278548391.727946	293969557.055482	274397862.863351	323403340.455344	268793644.084169	272145081.9847	0.0218824273368825	1.01528335698752	0.647453914345245	0.94925688226669	282009451.168112	286319502.28417	"up"	"no"	"sp|P56480|ATPB_MOUSE"
"sp|P08249|MDHM_MOUSE"	281278197.007556	288900031.679716	265497249.255928	294440503.710869	268086029.665299	321203015.266035	264293970.301912	271315642.635456	275811811.467206	284463249.418421	272255011.052293	290934638.379179	269990414.752799	324940696.450829	270681113.88157	273609276.727647	0.00489972677602178	1.0034020056778	0.924328430262587	0.996659791239614	281876829.940346	282835776.516243	"up"	"no"	"sp|P08249|MDHM_MOUSE"
"sp|Q68FD5|CLH1_MOUSE"	262632210.260196	249679194.433459	264769344.457277	245361819.001516	254807148.251875	271149721.589231	246104630.49607	251922074.09032	254655179.26383	248348011.045095	263852715.812982	239193611.582542	255970062.445654	269697536.042954	246763818.604268	249822375.564186	-0.0128331920860265	-1.00893497147387	0.735382947504465	0.972143305684382	255803267.822493	253537913.795189	"down"	"no"	"sp|Q68FD5|CLH1_MOUSE"
"sp|Q6PIC6|AT1A3_MOUSE_family"	302701410.841986	269255410.416632	255410587.787224	256895927.571867	248253161.390637	245583763.362214	266866230.72624	262421885.410266	299079970.151277	266436301.721434	258914911.404272	249792834.011768	242612658.800571	247536575.663768	272235784.330341	266052425.355181	-0.00323962964393665	-1.00224806330222	0.950509311491542	0.996681455600847	263423547.188383	262832682.679826	"down"	"no"	"sp|Q6PIC6|AT1A3_MOUSE_family"
"sp|P60710|ACTB_MOUSE_family"	268378190.969859	275695992.95789	280983267.111455	267819296.953849	269996875.318077	274550971.221323	264741646.869211	274735195.638871	265731215.170994	259191077.644742	270872220.998326	263419328.650816	269089356.187795	270805196.580395	251177179.545767	260310888.751261	-0.0446253204269218	-1.03141527746121	0.173152283777699	0.612027866445592	272112679.630067	263824557.941262	"down"	"no"	"sp|P60710|ACTB_MOUSE_family"
