"accessions"	"IRSNorm_FLI.S4.1_2_tmm_SET1-2"	"IRSNorm_FLI.S3.1_2_tmm_SET1-2"	"IRSNorm_BGS.S4.1_1_tmm_SET1-2"	"IRSNorm_BGS.S3.3_1_tmm_SET1-2"	"IRSNorm_FLI.S1.1_2_tmm_SET1-2"	"IRSNorm_FLI.S3.3_2_tmm_SET1-2"	"IRSNorm_BGS.S4.2_1_tmm_SET1-2"	"IRSNorm_BGS.S1.2_1_tmm_SET1-2"	"IRSNorm_BGS.S1.1_1_tmm_SET1-2"	"IRSNorm_BGS.S2.1_1_tmm_SET1-2"	"IRSNorm_BGS.S2.2_1_tmm_SET1-2"	"IRSNorm_BGS.S3.1_1_tmm_SET1-2"	"IRSNorm_FLI.S1.2_2_tmm_SET1-2"	"IRSNorm_FLI.S2.1_2_tmm_SET1-2"	"IRSNorm_FLI.S2.2_2_tmm_SET1-2"	"IRSNorm_FLI.S4.2_2_tmm_SET1-2"	"logFC_SET1-2"	"FC_SET1-2"	"PValue_SET1-2"	"FDR_SET1-2"	"ave_SET1_SET1-2"	"ave_SET2_SET1-2"	"direction_SET1-2"	"candidate_SET1-2"	"Acc_SET1-2"
"sp|P16546|SPTN1_MOUSE"	370669233.513192	402615360.592123	375448760.369629	414913996.951791	386312238.39753	413847871.677406	390934502.396128	383829715.290146	387736862.960744	395136006.82036	398889821.43905	405042821.441705	385757622.041361	397388910.975877	398538978.013601	390946839.408594	0.00955973484803725	1.0066483056773	0.790520222796807	0.999673720385946	392321459.898493	394929732.887662	"up"	"no"	"sp|P16546|SPTN1_MOUSE"
"sp|P04370|MBP_MOUSE"	647276511.628281	382079526.062721	678060422.511492	466428648.516831	459555870.456808	466067530.602703	341813013.065387	404555458.309906	492501967.450837	430639908.57403	443433173.378652	392116851.203695	373739333.71728	405782242.413383	419986668.962004	325514338.730544	-0.227968918495836	-1.17118494905357	0.0759982918311931	0.999673720385946	480729622.644266	410464310.553803	"down"	"no"	"sp|P04370|MBP_MOUSE"
"sp|Q03265|ATPA_MOUSE"	397465232.714447	392494580.086737	380090086.490411	446483729.960733	398180217.686063	443369345.720752	389929742.352438	415363055.402547	398766281.335837	391501465.55192	426419301.143678	388425545.030981	406166312.86197	392488154.016853	418828098.340975	401582270.726115	-0.0174340782217433	-1.0121576936347	0.686711851609023	0.999673720385946	407921998.801766	403022178.626041	"down"	"no"	"sp|Q03265|ATPA_MOUSE"
"sp|P16858|G3P_MOUSE_family"	384345842.379883	388277463.562691	382582769.331225	392566359.545728	390787950.94935	393429826.390377	377745529.812852	382809830.076627	397203562.788126	389005466.531532	384557134.656122	389937366.63819	371637865.044128	393752856.020459	380111506.997632	375076189.618934	-0.00526415507091177	-1.00365549921838	0.8691991354354	0.999673720385946	386568196.506092	385160243.53689	"down"	"no"	"sp|P16858|G3P_MOUSE_family"
"sp|Q04447|KCRB_MOUSE"	309541897.646746	329807707.350141	315250744.144405	342578031.44924	327097687.921361	344824111.61215	320402948.657983	328899229.84774	323136818.791109	353080006.835569	323942888.476699	338269850.726502	327255779.498524	350637446.38123	316233464.050531	306129111.938165	0.0111325286055734	1.00774632974253	0.78524039604174	0.999673720385946	327300294.828721	329835670.837291	"up"	"no"	"sp|Q04447|KCRB_MOUSE"
"sp|P56480|ATPB_MOUSE"	268793644.056428	274397862.90606	269545475.254375	314005852.638588	282735037.687593	323403340.484981	272918442.73322	295193850.223263	271799354.701698	270099421.594861	286042668.872837	276470543.307285	296563102.451448	278548391.765964	293969557.062139	272145081.949201	-0.0351314509563639	-1.02465018016217	0.457240826904498	0.999673720385946	287624188.248063	280704765.213179	"down"	"no"	"sp|P56480|ATPB_MOUSE"
"sp|P08249|MDHM_MOUSE"	270681113.903786	269990414.749358	264293970.268916	321203015.237394	275811811.445661	324940696.440184	271315642.60641	288900031.69917	281278197.010001	265497249.234893	294440503.712845	268086029.618756	284463249.417624	272255011.047507	290934638.363638	273609276.716319	-0.0361339506044692	-1.0253624362695	0.476185721418598	0.999673720385946	285892087.04386	278820519.390198	"down"	"no"	"sp|P08249|MDHM_MOUSE"
"sp|Q68FD5|CLH1_MOUSE"	246763818.556298	255970062.42108	246104630.539605	271149721.632854	254655179.290499	269697535.992991	251922074.137815	249679194.389032	262632210.258727	264769344.414663	245361819.049439	254807148.242358	248348011.048295	263852715.770665	239193611.600961	249822375.574624	-0.0121478261717294	-1.00845578121568	0.748447553811888	0.999673720385946	255742777.120022	253598404.494967	"down"	"no"	"sp|Q68FD5|CLH1_MOUSE"
"sp|Q6PIC6|AT1A3_MOUSE_family"	272235784.286881	242612658.826091	266866230.700951	245583763.383085	299079970.178057	247536575.681127	262421885.402284	269255410.382724	302701410.822618	255410587.770291	256895927.594306	248253161.391148	266436301.687403	258914911.423144	249792834.04975	266052425.357489	-0.000777688748304898	-1.00053919773274	0.98807612379158	0.999673720385946	263199034.85515	263057195.012019	"down"	"no"	"sp|Q6PIC6|AT1A3_MOUSE_family"
"sp|P60710|ACTB_MOUSE_family"	251177179.507967	269089356.159589	264741646.902983	274550971.218178	265731215.208602	270805196.588383	274735195.620959	275695992.952871	268378190.939912	280983267.106057	267819296.922179	269996875.302056	259191077.635195	270872221.02282	263419328.672966	260310888.785252	-0.00373880254471734	-1.00259490081521	0.913390218869527	0.999673720385946	268315844.269941	267621393.298305	"down"	"no"	"sp|P60710|ACTB_MOUSE_family"
