New PAW TMT results file!																																											
"Program ""PAW_protein_grouper.py"" run on Mon Feb 13 18:36:31 2023"																																											
 																																											
 																					BGS-S4-1	BGS-S2-1	POOL-BGS-S5-1	BGS-S4-2	BGS-S3-1	BGS-S2-2	BGS-S3-2	BGS-S1-1	POOL-BGS-S5-2	BGS-S1-2	unused		FLI-S4-1	FLI-S2-1	POOL-FLI-S5-1	FLI-S4-2	FLI-S3-1	FLI-S2-2	FLI-S3-2	FLI-S1-1	POOL-FLI-S5-2	FLI-S1-2	unused
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_BGS	Total_FLI	Unique_BGS	Unique_FLI	Corrected_BGS	Corrected_FLI	PSMs_Used_BGS	TotInt_126C_BGS	TotInt_127N_BGS	TotInt_127C_BGS	TotInt_128N_BGS	TotInt_128C_BGS	TotInt_129N_BGS	TotInt_129C_BGS	TotInt_130N_BGS	TotInt_130C_BGS	TotInt_131N_BGS	TotInt_131C_BGS	PSMs_Used_FLI	TotInt_126C_FLI	TotInt_127N_FLI	TotInt_127C_FLI	TotInt_128N_FLI	TotInt_128C_FLI	TotInt_129N_FLI	TotInt_129C_FLI	TotInt_130N_FLI	TotInt_130C_FLI	TotInt_131N_FLI	TotInt_131C_FLI
1	1	CONT_005|Trypa5|PromTArt5	 	 	"CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG"	contaminant	100	50	5560	"Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003)."	47	32	0.681	27	20	19	13	20.6	14.11	19	1985883.304	1460855.183	2128236.405	1964902.858	1947944.982	1553193.201	1778735.18	1554908.739	1927763.452	1635059.931	57552.52539	13	2609049.913	2133086.395	3018860.164	2741310.148	2717737.301	2311915.527	2558315.538	2367514.084	2697035.813	2292241.543	47928.37457
2	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	 	 	"CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG"	contaminant	37.7	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	160	145	0.906	84	76	76	69	82.4	74.89	76	33166301.83	25552332.92	35838269.19	33086194.1	31995482.79	27596670.31	27339075.71	27649555.54	32647824.73	28766209.14	1218812.766	69	49334598.99	37857995.45	53152199	48343711.32	47754252.65	40172538.62	41164202.97	41043204.65	46407398.59	40725346.45	671301.8445
3	1	CONT_025|gi|346581|pir||S29094 (+1)	CONT_025|gi|346581|pir||S29094&CONT_110|gi|125117|sp|P25691|K2M3_SHEEP	 	"CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_049|gi|88052|pir||A32568, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_154|gi|1181996, sp|P03995|GFAP_MOUSE, sp|P11679|K2C8_MOUSE, sp|P20152|VIME_MOUSE, sp|P97861|KRT86_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9Z2T6|KRT85_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE"	contaminant	15.3	503	55342	"keratin, type II, component 5, cytoskeletal [sheep, wool, Peptide, 503 aa]."	18	1	0.056	12	6	1	0	1.93	0.621	1	7719.711914	8670.285156	8584.123047	9118.378906	7646.41748	9286.376953	15185.26563	11938.55762	6638.648926	9509.172852	150	0	0	0	0	0	0	0	0	0	0	0	0
9	1	CONT_068|gi|1082558|pir||S41161	 	 	"CONT_046|gi|88041|pir||A31994, CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|Q61414|K1C15_MOUSE"	contaminant	56.7	623	62129	"keratin 9, cytoskeletal [Homo sapiens]."	98	96	0.98	52	46	51	45	51.462	45.462	51	1872404.299	2019278.773	2400106.518	3799661.803	3533729.398	4114129.922	5032649.205	3291546.369	6136315.028	5898480.798	174640.1456	45	1351632.577	1448529.314	1608383.741	3386221.916	3060646.487	3266202.788	4250141.003	2261226.562	5452557.592	5383426.703	112007.7743
10	1	CONT_070|gi|547752|sp|Q01546|K22O_HUMAN	 	 	"CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, CONT_154|gi|1181996, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|P19246|NFH_MOUSE, sp|P20152|VIME_MOUSE, sp|P97861|KRT86_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6IFZ9|K2C74_MOUSE, sp|Q6IME9|K2C72_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9Z2T6|KRT85_MOUSE, tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE"	contaminant	6.4	638	65870	"KERATIN, TYPE II CYTOSKELETAL 2 ORAL (CYTOKERATIN 2P) (K2P) (CK 2P) [Homo sapiens]."	23	0	0	14	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	1	CONT_076|gi|125083|sp|P05783|K1CR_HUMAN (+1)	CONT_076|gi|125083|sp|P05783|K1CR_HUMAN&CONT_077|gi|106851|pir||S06889	 	"CONT_046|gi|88041|pir||A31994, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_146|gi|2119208|pir||I37459, CONT_156|gi|1363944|pir||JC4313, sp|B1AQ75|KRT36_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61765|K1H1_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q61897|KT33B_MOUSE"	contaminant	6.7	430	48057	"KERATIN, TYPE I CYTOSKELETAL 18 (CYTOKERATIN 18) (K18) (CK 18) [Homo sapiens]."	5	1	0.2	3	2	1	0	1.018	0.075	1	183111.5313	220618.0625	203752.4688	295126.375	241910.1094	230712.7813	227424.6406	290407.5313	219485.2031	235599.4375	10932.34375	0	0	0	0	0	0	0	0	0	0	0	0
17	1	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN (+1)	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN&sp|Q9QWL7|K1C17_MOUSE	 	"CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_146|gi|2119208|pir||I37459, CONT_156|gi|1363944|pir||JC4313, sp|B1AQ75|KRT36_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61765|K1H1_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q61897|KT33B_MOUSE, sp|Q8CCX5|KT222_MOUSE, sp|Q9D312|K1C20_MOUSE"	contaminant	16.9	432	48105	"KERATIN, TYPE I CYTOSKELETAL 17 (CYTOKERATIN 17) (K17) (CK 17) (39.1) (VERSION 1) [Homo sapiens]."	13	3	0.231	9	4	3	0	4.037	0.51	3	102193.1458	46948.74146	216020.8853	84263.02661	64178.50147	60947.34863	54310.72021	45018.74463	220285.7539	56547.18066	9581.990234	0	0	0	0	0	0	0	0	0	0	0	0
19	1	CONT_102|gi|88044|pir||S01068 (+1)	CONT_102|gi|88044|pir||S01068&CONT_119|gi|547753|sp|P19013|K2C4_HUMAN	 	"CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6IFZ9|K2C74_MOUSE, sp|Q6IME9|K2C72_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9Z2T6|KRT85_MOUSE, tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE"	contaminant	6.6	408	45507	"keratin 4, type II, cytoskeletal (fragment) [Homo sapiens]."	8	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
