PAW protein_summary_9 results file
written: Mon Feb 13 18:35:51 2023

 	=subtotal(109,B6:B7162)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
ProtGroup	Counter	Accession	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_BGS	Total_FLI	Unique_BGS	Unique_FLI	Corrected_BGS	Corrected_FLI	OtherLoci
1.0	1	CONT_005|Trypa5|PromTArt5	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	47	32	0.681	27	20	19	13	20.600	14.110	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG
2.0	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	37.7	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	160	145	0.906	84	76	76	69	82.400	74.890	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG
3.0	1	CONT_025|gi|346581|pir||S29094	contaminant	15.3	503	55342	keratin, type II, component 5, cytoskeletal [sheep, wool, Peptide, 503 aa].	18	1	0.056	12	6	1	0	2.935	0.000	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_049|gi|88052|pir||A32568, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_154|gi|1181996, sp|P03995|GFAP_MOUSE, sp|P11679|K2C8_MOUSE, sp|P20152|VIME_MOUSE, sp|P97861|KRT86_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9Z2T6|KRT85_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE
3.0001	1	CONT_110|gi|125117|sp|P25691|K2M3_SHEEP	redundant	15.3	502	55255	KERATIN, TYPE II MICROFIBRILLAR, COMPONENT 5 [Ovis aries].	18	1	0.056	12	6	1	0	2.935	0.000	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_049|gi|88052|pir||A32568, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_154|gi|1181996, sp|P03995|GFAP_MOUSE, sp|P11679|K2C8_MOUSE, sp|P20152|VIME_MOUSE, sp|P97861|KRT86_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9Z2T6|KRT85_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE
4.0	1	CONT_041|gi|109048|pir||S22025	contaminant	21.1	508	55245	keratin type II, KII-9, hair [Ovis aries].	23	1	0.043	13	10	0	1	0.000	3.670	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_049|gi|88052|pir||A32568, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_154|gi|1181996, sp|P03995|GFAP_MOUSE, sp|P11679|K2C8_MOUSE, sp|P20152|VIME_MOUSE, sp|P97861|KRT86_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9Z2T6|KRT85_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE
5.0	1	CONT_046|gi|88041|pir||A31994	contaminant	44.2	561	57247	keratin 10, type I, epidermal [Homo sapiens].	71	3	0.042	38	33	2	1	6.569	3.045	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_146|gi|2119208|pir||I37459, CONT_156|gi|1363944|pir||JC4313, sp|B1AQ75|KRT36_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61765|K1H1_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q61897|KT33B_MOUSE
6.0	1	CONT_049|gi|88052|pir||A32568	contaminant	24.6	589	62033	keratin K5, 58K type II, epidermal (version 2) (fragment) [Homo sapiens].	34	1	0.029	19	15	1	0	3.784	0.000	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_102|gi|88044|pir||S01068, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_154|gi|1181996, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|P19246|NFH_MOUSE, sp|P20152|VIME_MOUSE, sp|P97861|KRT86_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6IFZ9|K2C74_MOUSE, sp|Q6IME9|K2C72_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9Z2T6|KRT85_MOUSE, tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE
7.0	1	CONT_050|gi|280816|pir||A37343	contaminant	9.5	420	45865	keratin 13, type I, cytoskeletal, short form [Homo sapiens].	12	0	0.000	8	4	0	0	0.000	0.000	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P08730|K1C13_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q8CCX5|KT222_MOUSE, sp|Q9D312|K1C20_MOUSE
7.0001	1	CONT_098|gi|125077|sp|P13646|K1CM_HUMAN	redundant	8.7	458	49644	KERATIN, TYPE I CYTOSKELETAL 13 (CYTOKERATIN 13) (K13) (CK 13) [Homo sapiens].	12	0	0.000	8	4	0	0	0.000	0.000	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P08730|K1C13_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q8CCX5|KT222_MOUSE, sp|Q9D312|K1C20_MOUSE
